id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
TN-022,TN,duiStateLaws,"At what BAC level does Tennessee require mandatory minimum jail time?","0.10% or higher","0.15% or higher","0.20% or higher","0.12% or higher",1,B
TN-023,TN,duiStateLaws,"What does Tennessee's implied consent law require drivers to do?","Carry insurance proof","Register vehicles annually","Submit to chemical testing","Attend safety classes",2,C
TN-024,TN,duiStateLaws,"How long is the license suspension for a first chemical test refusal in Tennessee?","90 days","6 months","180 days","One year",3,D
TN-025,TN,duiStateLaws,"What device is required for all DUI convictions in Tennessee?","Ignition interlock device","Ankle monitoring bracelet","Breath analyzer portable","GPS tracking system",0,A
TN-026,TN,duiStateLaws,"How long is the license suspension for a second test refusal in Tennessee?","One year only","Six months only","Eighteen months","Two years",3,D
TN-027,TN,insurance,"What type of insurance coverage is mandatory in Tennessee?","Liability coverage only","Comprehensive coverage","Collision coverage","Uninsured motorist coverage",0,A
TN-028,TN,insurance,"What must Tennessee drivers always carry while operating a vehicle?","Vehicle registration","Proof of insurance","Driver's license only","Maintenance records",1,B
TN-029,TN,insurance,"What type of violation is driving without insurance in Tennessee?","Traffic infraction only","Civil violation only","Class C misdemeanor","Class A misdemeanor",2,C
TN-030,TN,insurance,"What can happen if you're caught driving uninsured in Tennessee?","Warning only","Mandatory driving class","Community service hours","License suspension",3,D
TN-031,TN,stateUnique,"When must headlights be turned on according to Tennessee's ""wipers on, lights on"" law?","When wipers in use","Only during heavy rain","Only at night","When visibility poor",0,A
TN-032,TN,stateUnique,"What headlight colors are legal for non-emergency vehicles in Tennessee?","White only","Any color allowed","White or yellow","White/amber only",3,D
TN-033,TN,stateUnique,"How long after sunset must headlights be turned on in Tennessee?","30 minutes after","Immediately at sunset","60 minutes after","15 minutes after",0,A
TN-034,TN,stateUnique,"How long before sunrise may headlights be turned off in Tennessee?","Immediately at sunrise","30 minutes before","60 minutes before","15 minutes before",1,B
TN-035,TN,stateUnique,"What type of offense is violating Tennessee's headlight law during rain?","Traffic infraction only","Civil violation only","Class C misdemeanor","Class A misdemeanor",2,C
TN-036,TN,stateUnique,"At what distance should you be able to see clearly to drive without headlights in Tennessee?","100 feet ahead","150 feet ahead","250 feet ahead","200 feet ahead",3,D
TN-037,TN,stateUnique,"What must drivers do when approaching emergency vehicles on Tennessee roadways?","Move over or slow down","Stop completely always","Flash hazard lights","Sound horn twice",0,A
TN-038,TN,stateUnique,"When are headlights required even during daytime in Tennessee?","Never during daytime","Inclement weather","Only during fog","Only during snow",1,B
TN-039,TN,stateUnique,"What weather conditions require constant windshield wiper use and headlights in Tennessee?","Light drizzle only","Heavy fog only","Rain, mist, snow","Sleet only",2,C
TN-040,TN,stateUnique,"Which colored headlights are banned on non-emergency vehicles in Tennessee?","Amber colored lights","Yellow colored lights","White colored lights","Blue or green lights",3,D
TX-001,TX,gdlLicensing,"At what minimum age can you apply for a learner license in Texas?","15 years old","16 years old","14 years old","17 years old",0,A
TX-002,TX,gdlLicensing,"Who must supervise a learner license holder in Texas?","Any licensed driver 18+","Licensed adult 21+ in front","Parent or guardian only","Certified instructor only",1,B
TX-003,TX,gdlLicensing,"How long must you hold a learner license before getting a provisional license in Texas?","3 months minimum","12 months minimum","6 months minimum","9 months minimum",2,C
TX-004,TX,gdlLicensing,"What curfew applies to provisional license holders under 18 in Texas?","10 PM to 6 AM daily","11 PM to 5 AM daily","No driving after 10 PM","Midnight to 5 AM",3,D
TX-005,TX,gdlLicensing,"When can a provisional license holder drive alone at night in Texas?","Work, school, or emergency","Recreational purposes only","Never permitted at all","Weekends & holidays only",0,A
TX-006,TX,gdlLicensing,"How many non-family passengers under 21 can a provisional driver have in Texas?","Two passengers max","One passenger only","Three passengers max","No passengers allowed",1,B
TX-007,TX,gdlLicensing,"How long does the passenger restriction last for provisional license holders in Texas?","3 months from issuance","12 months from issuance","6 months from issuance","Until age 18",2,C
TX-008,TX,gdlLicensing,"What driving practice is required before taking the skills test in Texas?","20 hours practice total","30 hours practice total","No minimum required","30 hrs with 10 at night",3,D
TX-009,TX,gdlLicensing,"At what age can you skip GDL phases and apply for a full license in Texas?","18 years old","21 years old","17 years old","19 years old",0,A
TX-010,TX,gdlLicensing,"What driver education is required for minors applying for a license in Texas?","Parent-taught program only","Approved or parent-taught","No driver education required","Online driver course only",1,B
TX-011,TX,gdlLicensing,"What restriction applies during the first year of a provisional license in Texas?","Highway driving prohibited","Daytime hours driving only","Curfew and passenger limits","Family members only allowed",2,C
TX-012,TX,gdlLicensing,"What happens if you accumulate moving violations on a provisional license in Texas?","License revoked permanently","Must pay higher penalty fees","Automatic license suspension","License suspended/restricted",3,D
TX-013,TX,cellPhone,"What cell phone use is prohibited for all drivers in school zones in Texas?","Handheld device use","Only texting prohibited","Bluetooth use prohibited","GPS use prohibited",0,A
TX-014,TX,cellPhone,"Can novice drivers under 18 use hands-free devices in Texas?","Yes, if voice-activated","No, all use prohibited","Only for emergencies","Only with supervision",1,B
TX-015,TX,cellPhone,"What electronic communication is banned while driving in Texas?","Voice calls use only","GPS navigation use only","Reading or writing texts","Music streaming use only",2,C
TX-016,TX,cellPhone,"When can you legally use a handheld device while driving in Texas?","At traffic lights only","Low-speed zones only","During daytime only","When stopped or parked",3,D
TX-017,TX,cellPhone,"What hands-free exception exists for reporting emergencies in Texas?","Can use handheld for 911","Must pull over first","No exceptions allowed","Voice-only permitted",0,A
TX-018,TX,cellPhone,"What local ordinances can cities enforce regarding cell phones in Texas?","Only state laws apply","Stricter local bans OK","Cities cannot regulate","Federal law preempts",1,B
TX-019,TX,duiStateLaws,"What is the legal BAC limit for drivers under 21 in Texas?","0.08% BAC limit","0.04% BAC limit","Any detectable amount","0.05% BAC limit",2,C
TX-020,TX,duiStateLaws,"What is the BAC limit for commercial drivers operating CMVs in Texas?","0.08% BAC","0.02% BAC","0.06% BAC","0.04% BAC",3,D
TX-021,TX,duiStateLaws,"What does implied consent mean when you obtain a license in Texas?","Agree to breath or blood test","Consent to vehicle search","Waive right to attorney","Accept automatic conviction",0,A
TX-022,TX,duiStateLaws,"What administrative penalty occurs for refusing a BAC test in Texas?","30-day suspension","License suspension","Immediate arrest only","Community service hours",1,B
TX-023,TX,duiStateLaws,"What device may be required after a DWI conviction in Texas?","GPS tracking device","Alcohol monitoring bracelet","Ignition interlock device","Speed limiting device",2,C
TX-024,TX,duiStateLaws,"When does a third DWI become a felony offense in Texas?","Within 5 years","Within 10 years","Within 15 years","At any time",3,D
TX-025,TX,duiStateLaws,"What enhanced penalty applies for DWI with a child passenger in Texas?","Child endangerment","Doubled jail sentence","License revocation","Mandatory ignition lock",0,A
TX-026,TX,duiStateLaws,"What surcharge program applies to DWI convictions in Texas?","One-time court fee","Annual surcharge 3 yrs","Monthly payment plan","Insurance premium increase",1,B
TX-027,TX,insurance,"What auto insurance system does Texas use for accidents?","Pure no-fault system","Modified comparative fault","Fault-based tort system","Strict liability system",2,C
TX-028,TX,insurance,"What liability coverage is mandatory in Texas?","Collision coverage only","Comprehensive coverage only","Medical payments only","Bodily injury and property",3,D
TX-029,TX,insurance,"What protects you from uninsured drivers in Texas?","Uninsured motorist coverage","Personal injury protection","Comprehensive insurance","Collision coverage only",0,A
TX-030,TX,insurance,"What must you show police during a traffic stop in Texas?","Registration only","Insurance & license","Vehicle title only","Inspection sticker only",1,B
TX-031,TX,stateUnique,"What is Texas's Move Over law for emergency vehicles?","Move over or slow down","Honk horn when passing","Stop completely first","Flash hazard lights",0,A
TX-032,TX,stateUnique,"When are headlights required while driving in Texas?","Only at night time","Sunset to sunrise","When raining only","In fog only",1,B
TX-033,TX,stateUnique,"How far must you park from a fire hydrant in Texas?","15 feet away","20 feet away","10 feet away","25 feet away",0,A
TX-034,TX,stateUnique,"What is required for all children under 8 in Texas?","Seatbelt in back seat","Child safety seat or booster","Adult supervision always","Special license endorsement",1,B
TX-035,TX,stateUnique,"What is the speed limit in urban districts unless posted in Texas?","25 mph","35 mph","30 mph","40 mph",2,C
TX-036,TX,stateUnique,"Are motorcycle helmets required in Texas?","Only riders under age 21","Only on highways required","Required for all riders","Required unless certified",3,D
TX-037,TX,stateUnique,"When must you stop for a school bus in Texas?","When lights flash","Only if behind bus","Only on two-lane roads","Only during school hours",0,A
TX-038,TX,stateUnique,"What turn signal distance is required before turning in Texas?","50 feet minimum","100 feet minimum","200 feet minimum","No specific distance",1,B
TX-039,TX,stateUnique,"What is the law on passing on the right in Texas?","Never allowed","Only on highways","Allowed when safe","Only in emergencies",2,C
TX-040,TX,stateUnique,"When are right turns on red permitted in Texas?","Never allowed at all","Only during daytime hours","Only on weekend days","After stop unless posted",3,D
UT-001,UT,gdlLicensing,"At what minimum age can you obtain a learner permit in Utah?","15 years old","16 years old","14 years old","17 years old",0,A
UT-002,UT,gdlLicensing,"How long must you hold a learner permit before upgrading to the next phase?","3 months minimum","6 months minimum","12 months minimum","9 months minimum",1,B
UT-003,UT,gdlLicensing,"How many total hours of supervised driving practice are required for Utah teens?","30 hours total","50 hours total","40 hours total","60 hours total",2,C
UT-004,UT,gdlLicensing,"How many of the required practice hours must be completed at night?","5 night hours","15 night hours","20 night hours","10 night hours",3,D
UT-005,UT,gdlLicensing,"What minimum age must a supervising driver be when accompanying a learner permit holder?","21 years old","25 years old","18 years old","23 years old",0,A
UT-006,UT,gdlLicensing,"During what hours are drivers under 17 prohibited from driving in Utah?","11 PM to 6 AM","12 AM to 5 AM","1 AM to 6 AM","10 PM to 5 AM",1,B
UT-007,UT,gdlLicensing,"How long must newly licensed 16-17 year olds wait before carrying non-family passengers?","3 months","12 months","6 months","9 months",2,C
UT-008,UT,gdlLicensing,"What is required for all Utah drivers age 18 and younger to obtain a license?","Road skills test only","Written exam only","Medical exam only","Driver ed course",3,D
UT-009,UT,gdlLicensing,"What%age must you score on the Utah written knowledge test to pass?","80% or higher","75% or higher","85% or higher","70% or higher",0,A
UT-010,UT,gdlLicensing,"If you are 19 or older, what is the minimum learner permit holding period?","6 months","3 months","1 month","No minimum",1,B
UT-011,UT,gdlLicensing,"Where must an approved supervising driver sit while supervising a permit holder?","Anywhere in vehicle","In the back seat","Front passenger seat","Either front seat",2,C
UT-012,UT,gdlLicensing,"At what age can you apply for a full driver license if requirements are met?","15 years old","17 years old","18 years old","16½ years old",3,D
UT-013,UT,cellPhone,"What is the cell phone usage rule for Utah drivers under 18?","Complete phone ban","Texting allowed only","Calling allowed only","Hands-free only",0,A
UT-014,UT,cellPhone,"What type of phone communication is legal for adult drivers in Utah?","Text messaging","Hands-free calls","Reading emails","Browsing the web",1,B
UT-015,UT,cellPhone,"What action is banned for all Utah drivers while operating a vehicle?","Using GPS apps","Using Bluetooth","Manually texting","Voice commands",2,C
UT-016,UT,cellPhone,"What is Utah's distracted driving law classified as for enforcement purposes?","Warning only law","Secondary law","Tertiary law","Primary offense",3,D
UT-017,UT,cellPhone,"When can teen drivers legally use their phone while driving?","Emergency situations","During daylight only","With passenger present","Never under any condition",0,A
UT-018,UT,cellPhone,"What phone-related action is prohibited even at red lights in Utah?","Voice calling","Manual texting","Using GPS navigation","Hands-free talking",1,B
UT-019,UT,duiStateLaws,"What is Utah's legal BAC limit for drivers 21 and older?","0.08%","0.10%","0.05%","0.04%",2,C
UT-020,UT,duiStateLaws,"What is the BAC limit for commercial vehicle operators in Utah?","0.08%","0.05%","0.02%","0.04%",3,D
UT-021,UT,duiStateLaws,"What is Utah's BAC tolerance for drivers under 21?","Zero tolerance","0.02% BAC limit","0.01% BAC limit","0.05% BAC limit",0,A
UT-022,UT,duiStateLaws,"What device is required for DUI offenders in Utah after conviction?","Ankle monitor device","Ignition interlock","GPS tracking device","Breathalyzer phone app",1,B
UT-023,UT,duiStateLaws,"What happens if you refuse a BAC test in Utah under implied consent law?","Warning issued","Small citation","License suspended","Mandatory jail time",2,C
UT-024,UT,duiStateLaws,"How does Utah's 0.05% BAC limit compare nationally?","Highest in US","Average for US","Above US average","Lowest in US",3,D
UT-025,UT,duiStateLaws,"What classification is a first-time DUI without aggravating factors in Utah?","Class B misdemeanor","Class A felony","Class C infraction","Class D violation",0,A
UT-026,UT,duiStateLaws,"When did Utah's 0.05% BAC limit take effect?","January 2020","December 2018","January 2019","March 2017",1,B
UT-027,UT,insurance,"What type of insurance system does Utah operate under?","Tort system","Hybrid system","No-fault system","Modified fault system",2,C
UT-028,UT,insurance,"When did Utah's increased liability insurance minimums take effect?","July 2024","January 2025","March 2024","June 2025",3,D
UT-029,UT,insurance,"What additional coverage is required beyond liability insurance in Utah?","Personal Injury Protection","Collision coverage only","Comprehensive coverage","Gap insurance coverage",0,A
UT-030,UT,insurance,"What legislation prompted Utah's 2025 insurance requirement changes?","Senate Bill 200","House Bill 113","Executive Order 45","House Bill 250",1,B
UT-031,UT,stateUnique,"What is the default speed limit in Utah school zones?","20 mph","25 mph","15 mph","30 mph",0,A
UT-032,UT,stateUnique,"What must you do when a vehicle stops at a school crosswalk?","Proceed cautiously","Honk your horn","Change lanes","Stop behind it",3,D
UT-033,UT,stateUnique,"What is required for 2-wheel drive vehicles under Utah's winter Traction Law?","4 winter-rated tires","2 winter-rated tires","Chains on all tires","All-season tires",0,A
UT-034,UT,stateUnique,"What symbol indicates proper winter tires under Utah's Traction Law?","M+S marking only","3-Peak Snowflake","Winter Approved stamp","DOT certification",1,B
UT-035,UT,stateUnique,"How are speeding fines affected in Utah highway work zones?","Stay the same","Reduced by half","Doubled","Tripled",2,C
UT-036,UT,stateUnique,"When must you stop at a crosswalk not located at an intersection?","When flashing only","When convenient","If police present","Before entering it",3,D
UT-037,UT,stateUnique,"Who always has right-of-way at non-intersection crosswalks in Utah?","Pedestrians","Larger vehicles","Emergency vehicles","Through traffic",0,A
UT-038,UT,stateUnique,"What must all-wheel drive vehicles have under the Traction Law?","4 winter tires","2+ snowflake tires","Chains available","All-terrain tires",1,B
UT-039,UT,stateUnique,"What technology is Utah implementing at crosswalks for accessibility?","Video cameras","Motion sensors","Radar buttons","LED countdown timers",2,C
UT-040,UT,stateUnique,"What must you always do when you see a flagger in a work zone?","Slow to 15 mph","Turn on hazards","Change lanes","Obey flagger",3,D
VA-001,VA,gdlLicensing,"At what minimum age can a juvenile apply for a learner's permit in Virginia?","15 years and 6 months","15 years old exactly","16 years old exactly","14 years and 6 months",0,A
VA-002,VA,gdlLicensing,"What is the minimum age requirement to accompany a learner's permit holder as a supervising driver who is NOT a parent or guardian?","18 years old minimum","21 years old minimum","19 years old minimum","25 years old minimum",1,B
VA-003,VA,gdlLicensing,"During what hours are learner's permit holders prohibited from driving in Virginia?","10 PM to 6 AM","11 PM to 5 AM","Midnight to 4 AM","1 AM to 5 AM",2,C
VA-004,VA,gdlLicensing,"How many hours of supervised driving practice must a juvenile complete before applying for a driver's license in Virginia?","30 total hours","40 total hours","50 total hours","45 total hours",3,D
VA-005,VA,gdlLicensing,"How long must a juvenile hold a learner's permit before applying for a driver's license in Virginia?","9 months minimum","6 months minimum","12 months minimum","3 months minimum",0,A
VA-006,VA,gdlLicensing,"At what age can a juvenile apply for a provisional driver's license in Virginia?","15 years and 6 months","16 years and 3 months","16 years exactly","17 years exactly",1,B
VA-007,VA,gdlLicensing,"How many non-family passengers under 18 can a new provisional license holder transport during the first year?","Two passengers max","Three passengers max","One passenger max","No passengers allowed",2,C
VA-008,VA,gdlLicensing,"During what hours are provisional license holders under 18 prohibited from driving due to curfew restrictions?","11 PM to 5 AM","10 PM to 6 AM","1 AM to 5 AM","Midnight to 4 AM",3,D
VA-009,VA,gdlLicensing,"How many of the required supervised driving hours must be completed after sunset in Virginia?","15 hours minimum","10 hours minimum","20 hours minimum","5 hours minimum",0,A
VA-010,VA,gdlLicensing,"How long must an adult (18+) who has never held any license hold a learner's permit before applying for a driver's license?","30 days minimum","60 days minimum","90 days minimum","No permit required",1,B
VA-011,VA,gdlLicensing,"What happens if a juvenile fails the DMV knowledge test three times in Virginia?","Retake immediately available","Wait 30 days to retake","Must complete driver education","License eligibility suspended",2,C
VA-012,VA,gdlLicensing,"How many non-family passengers under 18 can a provisional license holder transport after holding the license for one full year?","One passenger maximum","Two passengers maximum","Four passengers maximum","Three passengers maximum",3,D
VA-013,VA,cellPhone,"What is Virginia's law regarding holding a handheld cell phone while driving?","Prohibited for all drivers","Allowed for brief calls","Prohibited only in school zones","Allowed with speakerphone",0,A
VA-014,VA,cellPhone,"What is required when passing a bicyclist on a Virginia roadway?","Honk to alert the cyclist","At least 3 feet of space","Pass only on multi-lane roads","Wait until no oncoming traffic",1,B
VA-015,VA,cellPhone,"What type of cell phone use is permitted while driving in Virginia?","Holding phone for navigation","Texting at stoplights only","Hands-free talking only","Brief calls under 30 sec",2,C
VA-016,VA,cellPhone,"What is the cell phone restriction for drivers under 18 in Virginia?","Hands-free calls permitted","Emergency calls only","Texting only prohibited","No use while moving",3,D
VA-017,VA,cellPhone,"Is Virginia's handheld cell phone law a primary or secondary offense?","Primary offense violation","Secondary offense only","Warning only for first offense","No enforcement unless reckless",0,A
VA-018,VA,cellPhone,"When can a driver legally use a handheld cell phone in Virginia?","During stopped traffic only","When parked or emergency","In residential areas only","For GPS navigation only",1,B
VA-019,VA,duiStateLaws,"What is the BAC legal limit for drivers under 21 in Virginia?","0.04% BAC limit","0.05% BAC limit","0.02% BAC limit","0.00% BAC limit",2,C
VA-020,VA,duiStateLaws,"What is the BAC legal limit for commercial drivers operating commercial vehicles in Virginia?","0.08% BAC limit","0.06% BAC limit","0.02% BAC limit","0.04% BAC limit",3,D
VA-021,VA,duiStateLaws,"What is Virginia's zero tolerance policy for underage drinking and driving?","Any alcohol prohibited","Only applies over 0.05%","Only felony over 0.08%","Warnings only for first offense",0,A
VA-022,VA,duiStateLaws,"What classification is an underage DUI (BAC 0.02-0.07) in Virginia?","Traffic infraction only","Class 1 misdemeanor","Class 2 misdemeanor","Felony charge",1,B
VA-023,VA,duiStateLaws,"If an underage driver refuses a breath test or tests at 0.02% or higher, how long is the immediate license suspension?","3 days immediate suspension","5 days immediate suspension","7 days immediate suspension","10 days immediate suspension",2,C
VA-024,VA,duiStateLaws,"What is the standard BAC legal limit for drivers 21 and older in Virginia?","0.10% BAC limit","0.06% BAC limit","0.05% BAC limit","0.08% BAC limit",3,D
VA-025,VA,duiStateLaws,"Under Virginia's zero tolerance law, what type of offense is underage DUI?","Criminal misdemeanor offense","Civil infraction only","Felony for first offense","Administrative violation only",0,A
VA-026,VA,duiStateLaws,"What device may be required after a DUI conviction in Virginia?","GPS tracking device","Ignition interlock device","Rearview dashboard camera","Electronic speed limiter",1,B
VA-027,VA,insurance,"What type of insurance system does Virginia use for auto accidents?","At-fault tort system","No-fault insurance","Hybrid fault system","Choice no-fault system",0,A
VA-029,VA,insurance,"What coverage protects you if hit by an uninsured driver in Virginia?","Collision coverage only","Comprehensive coverage","Uninsured motorist","Personal injury protection",2,C
VA-030,VA,insurance,"What is the consequence for driving without insurance in Virginia?","Warning for first offense","Fine of $50 only","License suspension","Vehicle registration hold",2,C
VA-031,VA,stateUnique,"At what speed does Virginia consider driving to be reckless driving regardless of the posted speed limit?","80 mph or higher","90 mph or higher","100 mph or higher","85 mph or higher",2,C
VA-032,VA,stateUnique,"What classification is reckless driving in Virginia?","Traffic infraction","Class 2 misdemeanor","Class 3 misdemeanor","Class 1 misdemeanor",3,D
VA-033,VA,stateUnique,"When must you stop for a school bus with flashing red lights in Virginia?","Only within school zones","Unless separated by median","Only if children visible","Always on all roads",1,B
VA-034,VA,stateUnique,"What must drivers do when approaching stationary vehicles with flashing lights on a 4+ lane highway?","Stop completely behind vehicle","Change lanes or slow down","Flash hazard lights","Sound horn as warning",1,B
VA-035,VA,stateUnique,"What is the default speed limit in Virginia residential areas when not posted?","20 mph","30 mph","25 mph","35 mph",2,C
VA-036,VA,stateUnique,"When are headlights required in Virginia?","Only after midnight","Sunset to sunrise or low visibility","Only during heavy rain","Anytime wipers are active",1,B
VA-037,VA,stateUnique,"What must drivers do when an emergency vehicle with siren and flashing lights approaches?","Pull to nearest edge and stop","Slow down but continue moving","Change lanes if possible","Flash lights to acknowledge",0,A
VA-039,VA,stateUnique,"What right-of-way privilege do funeral processions have in Virginia?","Only in designated zones","Only with traffic signals","Right-of-way on all highways","No special privileges granted",2,C
VA-040,VA,stateUnique,"What consequence applies for overtaking or passing a moving emergency vehicle with active lights and siren?","Minor traffic infraction","Class 2 misdemeanor","Warning only first time","Reckless driving charge",3,D
VT-001,VT,gdlLicensing,"At what minimum age can you apply for a learner's permit in Vermont?","15 years old","16 years old","14 years old","17 years old",0,A
VT-002,VT,gdlLicensing,"What is the minimum age for a supervisor of a learner's permit holder in Vermont?","18 years old minimum","25 years old minimum","21 years old minimum","30 years old minimum",1,B
VT-003,VT,gdlLicensing,"How long must you hold a learner's permit before applying for a junior license in Vermont?","3 months minimum","6 months minimum","1 year minimum","2 years minimum",2,C
VT-004,VT,gdlLicensing,"How many total practice hours are required to progress from learner's permit to junior license in Vermont?","30 hours total","50 hours total","60 hours total","40 hours total",3,D
VT-005,VT,gdlLicensing,"How many nighttime practice hours are required for a junior license in Vermont?","10 hours nighttime","15 hours nighttime","5 hours nighttime","20 hours nighttime",0,A
VT-006,VT,gdlLicensing,"At what minimum age can you apply for a junior driver's license in Vermont?","15 years old","16 years old","17 years old","18 years old",1,B
VT-007,VT,gdlLicensing,"How long must you maintain a clean record before obtaining a junior license in Vermont?","3 months clean","1 year clean","6 months clean","9 months clean",2,C
VT-008,VT,gdlLicensing,"When does a junior license automatically convert to an unrestricted license in Vermont?","At age 17 only","After 2 years","Never automatic","1 yr or age 18",3,D
VT-009,VT,gdlLicensing,"Where must the supervising driver sit when accompanying a learner's permit holder in Vermont?","In the front seat","Anywhere in vehicle","In the back seat","Either front or back",0,A
VT-010,VT,gdlLicensing,"Who can supervise a learner's permit holder in Vermont?","Any licensed driver","Parent/guardian or 25+","Only driving instructors","Family members only",1,B
VT-011,VT,gdlLicensing,"What is required for a junior license to convert to unrestricted status in Vermont?","Pass another road test","Complete driver education","Hold 1 year or reach 18","Pay an upgrade fee",2,C
VT-012,VT,gdlLicensing,"What clean record period is required before a junior license in Vermont?","3 months no violations","1 year no violations","2 years no violations","6 months no violations",3,D
VT-013,VT,cellPhone,"When did Vermont's hands-free cell phone law take effect?","October 2014","January 2015","July 2016","March 2013",0,A
VT-014,VT,cellPhone,"What does Vermont's hands-free law prohibit while driving?","Only texting messages","Holding any phone","Only video calls","Using Bluetooth",1,B
VT-015,VT,cellPhone,"What phone restriction applies to drivers under 18 in Vermont?","Only handheld banned","Only texting banned","All phone use banned","No restriction",2,C
VT-016,VT,cellPhone,"What did Vermont's 2023 cell phone law update prohibit?","All phone features","Voice commands only","Emergency calls only","Holding phone at stops",3,D
VT-017,VT,cellPhone,"When can you legally use a handheld phone while driving in Vermont?","Emergency calls only","At traffic lights","On residential streets","Never while moving",0,A
VT-018,VT,cellPhone,"What type of enforcement does Vermont use for cell phone violations?","Warning only first time","Primary enforcement","Secondary enforcement","No enforcement at all",1,B
VT-019,VT,duiStateLaws,"What is the legal BAC limit for drivers under 21 in Vermont?","0.08%","0.04%","0.02%","Zero tolerance",2,C
VT-020,VT,duiStateLaws,"What is the BAC limit for commercial drivers in Vermont?","0.08%","0.02%","0.06%","0.04%",3,D
VT-021,VT,duiStateLaws,"What does implied consent mean for Vermont drivers?","Agree to BAC testing if arrested","Permission to search vehicle","Consent to field sobriety only","Waiver of legal representation",0,A
VT-022,VT,duiStateLaws,"What is the license suspension for a first BAC test refusal in Vermont?","3 months suspension","6 months suspension","1 year suspension","2 years suspension",1,B
VT-023,VT,duiStateLaws,"How long is the license suspension for a second test refusal in Vermont?","6 months","1 year","18 mos","2 years",2,C
VT-024,VT,duiStateLaws,"What is the license suspension for a third BAC test refusal in Vermont?","1 year","18 months","2 years","3 years",3,D
VT-025,VT,duiStateLaws,"How long is the license suspension for a first underage DUI in Vermont?","6 months","1 year","3 months","9 months",0,A
VT-026,VT,duiStateLaws,"What is the suspension for a second underage DUI in Vermont?","6 mos suspension","1 yr or until 21","2 yrs suspension","Until age 25 yrs",1,B
VT-027,VT,insurance,"What type of insurance system does Vermont use for accidents?","No-fault system","At-fault system","Hybrid system","Choice no-fault",1,B
VT-028,VT,insurance,"What does liability insurance cover in Vermont?","Your own vehicle damage","Your own medical costs","Theft of your vehicle","Damage you cause to others",3,D
VT-029,VT,insurance,"What coverage protects you from uninsured drivers in Vermont?","Comprehensive coverage","Collision coverage only","Uninsured motorist","Personal injury protection",2,C
VT-030,VT,insurance,"What type of insurance system does Vermont follow for auto accidents?","No-fault system","Fault-based system","Shared responsibility","Comparative negligence only",1,B
VT-031,VT,stateUnique,"Who must wear a helmet when riding a motorcycle in Vermont?","Only riders under 21","Only on highways","All riders required","Optional with insurance",2,C
VT-032,VT,stateUnique,"What feature is required on motorcycle helmets in Vermont?","Chin strap only","Face shield only","Padding standards only","Reflect patches f & r",3,D
VT-033,VT,stateUnique,"When must motorcycle riders wear eye protection in Vermont?","If no windshield","Always required","Only at night","Only on highways",0,A
VT-034,VT,stateUnique,"Is lane splitting legal for motorcycles in Vermont?","Yes, always legal","No, prohibited","Only in traffic","Only on highways",1,B
VT-035,VT,stateUnique,"When must you turn on headlights after sunset in Vermont?","Immediately at sunset","1 hour after sunset","30 minutes after","2 hours after sunset",2,C
VT-036,VT,stateUnique,"At what visibility distance are headlights required in Vermont?","300 feet","400 feet","600 feet","500 feet",3,D
VT-037,VT,stateUnique,"Can you cross a double yellow line to pass in Vermont?","Yes if safe & clear","No, never allowed","Only on rural roads","Only for emergencies",0,A
VT-038,VT,stateUnique,"What is the speed limit on rural interstate highways in Vermont?","55 mph","65 mph","70 mph","60 mph",1,B
VT-039,VT,stateUnique,"When must you stop for a school bus with flashing red lights in Vermont?","Only if directly behind","Only on two-lane roads","Both ways unless divided","Never on multilane roads",2,C
VT-040,VT,stateUnique,"What defines a divided highway exception for school bus stops in Vermont?","Any painted median","Four or more lanes","Double yellow lines","Physical barrier",3,D
WA-001,WA,gdlLicensing,"At what age can you apply for a learner's permit in Washington if you are enrolled in an approved driver training course?","15 years old","14.5 years old","16 years old","15.5 years old",0,A
WA-002,WA,gdlLicensing,"How many hours of supervised driving experience are required before applying for an Intermediate Driver's License in Washington?","30 hours total, with 5 at night","50 hours total, with 10 at night","40 hours total, with 10 at night","60 hours total, with 15 at night",1,B
WA-003,WA,gdlLicensing,"During the learner's permit phase in Washington, who must accompany the permit holder in the vehicle?","Any parent or legal guardian","Any relative over 18 yrs old","Licensed adult 21+ w/ 5 yrs","Any licensed driver over 18",2,C
WA-004,WA,gdlLicensing,"For the first six months of an Intermediate Driver's License, who can be passengers in the vehicle?","Any friends from school","One non-family passenger only","Up to two non-family passengers","Immediate family members only",3,D
WA-005,WA,gdlLicensing,"What is the minimum age to obtain an Intermediate Driver's License in Washington?","16 years old","15.5 years old","17 years old","15 years old",0,A
WA-006,WA,gdlLicensing,"How long must you hold a learner's permit before applying for an Intermediate License in Washington?","Three months minimum","Six months minimum","Nine months minimum","One year minimum",1,B
WA-007,WA,gdlLicensing,"During what hours are Intermediate License holders prohibited from driving without a qualified adult?","11 PM to 6 AM","12 AM to 6 AM","1 AM to 5 AM","10 PM to 5 AM",2,C
WA-008,WA,gdlLicensing,"Can learner's permit holders in Washington use hands-free cell phone devices while driving?","Yes, if over 16 years old","Yes, for navigation only","Yes, for emergency calls only","No, no wireless devices at all",3,D
WA-009,WA,gdlLicensing,"At what age can you obtain a full unrestricted license in Washington if you have no violations?","17 years old if clean record","18 years old regardless","16.5 years old if clean record","19 years old regardless",0,A
